Name,Category,Address,Latitude,Longitude,DistanceToFood
College Raoul Dufy,school,74 bis Rue Mazenod,45.75873127997648,4.847794963447816,263.1777542542713
Le College,school,,45.765092,4.828402,259.6372420365497
Guitar Center,business,21 Cours Lafayette,45.763736724853516,4.843379974365234,250.82859788807266
Coffe And Food,food,,45.78589164715916,4.810954468002234,250.0
simple food,food,67 Rue De Marseille,45.76772607943078,4.837527095159721,250.0
Food Traboule,food,22 rue du Boeuf,45.762966,4.827019,250.0
Class Food,food,,45.76713562011719,4.833096027374268,250.0
Peshawar Express Indian Food Truck,food,28 Quai Augagneur,45.757451043126075,4.840497387312171,250.0
China Fast Food,food,9 rue de l'Ancienne Préfecture,45.760146,4.833297,250.0
Food Market,food,,45.761967,4.8570476,250.0
Chill Art Food,food,2 rue Coysevox,45.76996476337627,4.834813072449886,250.0
Street Food,food,,45.769313,4.831705,250.0
Food Way,food,Rue De La Vilette,45.759203493777875,4.860639106976023,250.0
Halal Burger Chicken Class Food,food,8 rue Sainte Marie des Terreaux,45.76764270808123,4.832868576049805,250.0
126 Food Avenue,food,126 Avenue Saxe,45.756566,4.846426,250.0
Cherche Midi,food,40-44 rue de la Villette,45.761091,4.861845,250.0
Lyon Street Food Festival,food,8 quai Saint Vincent,45.76796,4.8173265,250.0
Jetfood Tandoori,food,13 Rue Terme,45.768962809819556,4.831795016513215,250.0
Mezzo Di Pasta,food,,45.760749616337655,4.861813595494791,250.0
Subway,food,Gare de Lyon Part-Dieu,45.76087024733765,4.861864411172512,250.0
160 Food,food,160 rue Commandant Charcot,45.753527312693514,4.792484153982417,250.0
160 food,food,,45.76242890090378,4.789690862128932,250.0
Foodnight,food,3 Rue Pierre Simon Ballanche,45.75610264,4.84316862,250.0
FoodJob,food,,45.757152,4.82658,250.0
Culture Food,food,,45.77768252661517,4.798745308485687,250.0
Bollyfood,food,2 Rue Neyret,45.771369,4.828309,250.0
maroc&food,food,34 Place Jean Macé,45.73700179999999,4.8539289,250.0
Indian food center,food,280 Rue Paul Bert,45.75633195443295,4.870350407973939,250.0
Asia Food,food,43 rue Louis Loucheur,45.768065,4.801387,250.0
Délice Food,food,,45.754582,4.867587,250.0
Daily Happy Food,food,234 cours La Fayette,45.76367284140617,4.862301842716952,250.0
SIMPLE FOOD,food,67 rue de Marseille,45.748450142487684,4.838061332702637,250.0
So Food,food,,45.769797,4.862932,250.0
Kan Food,food,249 rue Paul Bert,45.75743019790761,4.866318450007585,250.0
Streat Food,food,22 Rue De La Charite,45.75419235229492,4.832240581512451,250.0
PREET INDIAN FOOD,food,58 Cours Tolstoï,45.76309218197619,4.862995147705078,250.0
BK Food,food,Rue de la Guillotière,45.74964396173587,4.852788723589596,250.0
South Food,food,,45.74664,4.823758,250.0
What's That Food,food,57 rue de la Thibaudière,45.749327,4.847611,250.0
Pres Food,food,56 Rue De La Charités,45.74776650447492,4.833719638478935,250.0
Harvel's Food&Coffee,food,,45.763508,4.8465877,250.0
Audioprothésiste  LYON - BOURSE Optical Center,business,4 Rue de la Bourse,45.7656652,4.8366181,239.72546003584358
Optical Center LYON - BOURSE,business,4 Rue de la Bourse,45.76566358,4.83664587,239.26971073560043
Collège Saint Marc,school,,45.74685922458235,4.820828134021701,229.2886244558848
Collège Chevreul,school,21 rue Sala,45.756144,4.829077,224.2624400083378
Optical Center LYON - JEAN-JAURÈS,business,45-47 Avenue Jean Jaurès,45.75016949,4.84505013,220.17102668828446
Stade du Collège Georges Clemenceau,school,Rue Sébastien Gryphe,45.74951451616357,4.840400040919083,217.05409347853245
Optical Center Lyon- PART-DIEU,business,29 Boulevard Eugène Deruelle,45.763184,4.85513568,201.04501882879038
Lipotherm Center,business,"37 rue Denuzière, Lyon",45.7466261,4.8212597,194.4141154044332
Ecole de création graphique Lyon - e-artsup,fun,2 rue Du Professeur Charles Appleton,45.746303,4.835068,193.5672014698521
Galerie Racont'Arts,fun,13 Quai De La Pecherie,45.76111618005954,4.831269979476928,191.0383176894913
Galerie Artscenik,fun,13 rue des capucins,45.76169329,4.83403736,181.36487785037335
Senioriales de Cavaillon,fun,62 Rue Saint-Georges,45.7572733,4.824603400000001,154.37211133832704
Arts 2000,fun,12 rue de la Platière,45.76584871482802,4.8323914990255945,153.17510314802774
Music Center,business,,45.767271,4.830991,151.78223820714877
Orange Business Services,business,139 rue Vendôme,45.76477729395646,4.846003090417724,148.22682236968424
Musée des tissus et des arts décoratifs,fun,17-19 rue de la Charité,45.75295889955018,4.831652487831115,144.52854919410015
Bistrot des Arts,fun,20 rue Auguste Comte,45.75526793814094,4.831222274521577,143.41864043501064
Travelex,transport,,45.760245080366296,4.859843,131.29517938962414
Galerie Des Arts Disparus,fun,23 rue de belfort,45.77030582,4.83259848,130.41041473170353
Dubaï Center,business,,45.75607581757316,4.84515220122764,113.09324316672497
Business Café,business,38 rue Professeur Grignard,45.747483552872595,4.838327126592525,109.40569836727515
Place Du Petit Collège,school,Place Du Petit Collège,45.76377620798037,4.827659345501197,102.91169108293961
Mercure Lyon Centre Beaux-Arts,fun,73-75 Rue President,45.760873333488874,4.834056209694944,100.118842059225
111 des Arts,fun,,45.766948,4.831964,90.4933637714801
World Trade Center,business,,45.76192758684824,4.858057662613884,78.69965759671585
Le Géant des Beaux-Arts Lyon Presqu’île,fun,3 rue du Garet,45.767296566796034,4.836863726377487,70.29740051483142
Palais Des Arts,fun,,45.76722494477181,4.833931709070366,65.75941291711955
Musée des Beaux-Arts,fun,20 Place des Terreaux,45.76677154225662,4.833712168177134,62.72657506245849
Jardins du Palais Saint-Pierre,fun,,45.766803522327585,4.833660334218602,57.35279730531752
Quai des Arts,fun,8 bis Quai Saint-Vincent,45.76778266041795,4.8178365266831795,44.2998686891274
Ensba - Ecole Supérieure Nationale des Beaux Arts de Lyon,fun,18 quai saint vincent,45.767957039927936,4.8174190521240225,7.206816630272802
Indian food center,business,280 Rue Paul Bert,45.75633195443295,4.870350407973939,0.0
